model,f1_score,recall_score,precision_score,test_loss,test_acc
MobileNetV2,0.8479,0.8482,0.8498,0.6495,0.916
MobileNet,0.8503,0.8603,0.8429,0.3466,0.9049
ResNet50,0.8034,0.8239,0.8009,0.4271,0.8748
NASNetLarge,0.8134,0.8204,0.8163,0.7944,0.8605
InceptionV3,0.782,0.7749,0.8018,0.8289,0.8479
InceptionResNetV2,0.7615,0.7855,0.7468,0.4958,0.8463
VGG16,0.5764,0.6709,0.5414,1.052268104211497e+17,0.6149
ResNet152V2,0.5147,0.5943,0.5372,4.1622,0.5563
ResNet50V2,0.2457,0.2865,0.2911,8563.1211,0.3994
ResNet101V2,0.26,0.2874,0.2864,4363799.5,0.3217
Xception,0.0135,0.125,0.0071,,0.0571
VGG19,0.0135,0.125,0.0071,,0.0571
EfficientNetB7,0.0135,0.125,0.0071,,0.0571
DenseNet121,0.0135,0.125,0.0071,,0.0571
DenseNet169,0.0135,0.125,0.0071,,0.0571
